ID,팔로워,팔로우,업로드 날짜,업로드 시간,장소 태그 여부,계정 태그 여부,해시태그,사진 이름,좋아요 수
peanuts__case,4110,319,2021-06-09,08:26:13,0,0,"['에어팟케이스', '에어팟', '에어팟케이스추천', '좋반테러', '생일선물', '생일선물추천', '좋반환영', '선팔하면맞팔', '선팔환영', '맞팔해요', '맞팔', '좋아요', '팔로우', '에어팟커플케이스', '커플에어팟케이스', '맞팔환영', '첫줄', '첫줄좋반', '선팔', '선팔맞팔', '소통', '맞팔선팔환영', '좋반', '좋아요반사', '곰돌이에어팟케이스', '에어팟곰돌이케이스', '에어팟실리콘케이스', '하리보에어팟케이스', '에어팟프로케이스', '에어팟프로케이스판매']",peanuts__case_17.png,381
peanuts__case,4110,319,2021-06-09,08:24:41,0,0,"['에어팟케이스', '에어팟', '에어팟케이스추천', '에어팟2세대케이스', '에어팟프로', '에어팟프로케이스추천', '좋반환영', '선팔하면맞팔', '선팔환영', '맞팔해요', '맞팔', '좋아요', '팔로우', '에어팟커플케이스', '커플에어팟케이스', '맞팔환영', '심플에어팟케이스', '첫줄좋반', '선팔', '선팔맞팔', '에어팟프로케이스', '맞팔선팔환영', '좋반', '좋아요반사', '첫줄', '첫줄반사', '에어팟하트키링', '에어팟프로', '오로라케이스', '에어팟하드케이스']",peanuts__case_18.png,344
peanuts__case,4110,319,2021-06-08,08:33:10,0,0,"['에어팟케이스', '에어팟', '에어팟케이스추천', '에어팟2세대케이스', '에어팟프로', '에어팟프로케이스추천', '좋반환영', '선팔하면맞팔', '선팔환영', '맞팔해요', '맞팔', '좋아요', '팔로우', '에어팟커플케이스', '커플에어팟케이스', '맞팔환영', '에어팟오리케이스', '첫줄좋반', '선팔', '선팔맞팔', '에어팟프로케이스', '맞팔선팔환영', '좋반', '좋아요반사', '첫줄', '첫줄반사', '에어팟하드케이스', '에어팟프로', '파스텔에어팟케이스', '조개에어팟케이스']",peanuts__case_19.png,407
peanuts__case,4110,319,2021-06-08,08:27:56,0,0,"['에어팟케이스', '에어팟', '에어팟케이스추천', '에어팟2세대케이스', '에어팟케이스판매', '에어팟키링추천', '좋반환영', '선팔하면맞팔', '선팔환영', '맞팔해요', '맞팔', '좋아요', '팔로우', '에어팟커플케이스', '커플에어팟케이스', '맞팔환영', '에어팟프로케이스', '첫줄', '선팔', '선팔맞팔', '에어팟2', '맞팔선팔환영', '좋반', '좋아요반사', '에어팟프로케이스추천', '에어팟프로', '에어팟실리콘케이스', '첫줄좋반', '에어팟쿠키케이스', '첫줄반사']",peanuts__case_20.png,387
peanuts__case,4110,319,2021-06-07,08:13:04,0,0,"['에어팟케이스', '에어팟', '에어팟케이스추천', '에어팟2세대케이스', '에어팟프로', '에어팟프로케이스추천', '좋반환영', '선팔하면맞팔', '선팔환영', '맞팔해요', '맞팔', '좋아요', '팔로우', '에어팟커플케이스', '커플에어팟케이스', '맞팔환영', '심플에어팟케이스', '첫줄좋반', '선팔', '선팔맞팔', '에어팟프로케이스', '맞팔선팔환영', '좋반', '좋아요반사', '첫줄', '첫줄반사', '에어팟하드케이스', '에어팟프로', '에어팟가죽케이스', '가죽에어팟케이스']",peanuts__case_21.png,404
peanuts__case,4110,319,2021-06-07,08:11:30,0,0,"['에어팟케이스', '에어팟', '에어팟케이스추천', '귀여운에어팟케이스', '에어팟프로', '에어팟프로케이스추천', '좋반환영', '선팔하면맞팔', '선팔환영', '맞팔해요', '맞팔', '좋아요', '팔로우', '에어팟커플케이스', '커플에어팟케이스', '맞팔환영', '심플에어팟케이스', '첫줄좋반', '선팔', '선팔맞팔', '에어팟프로케이스', '맞팔선팔환영', '좋반', '좋아요반사', '첫줄', '첫줄반사', '에어팟천사키링', '에어팟프로', '에어팟케이스판매', '에어팟실리콘케이스']",peanuts__case_22.png,302
peanuts__case,4110,319,2021-06-04,10:05:33,0,0,"['에어팟케이스', '에어팟', '에어팟케이스추천', '좋반테러', '생일선물', '생일선물추천', '좋반환영', '선팔하면맞팔', '선팔환영', '맞팔해요', '맞팔', '좋아요', '팔로우', '에어팟커플케이스', '커플에어팟케이스', '맞팔환영', '첫줄', '첫줄좋반', '선팔', '선팔맞팔', '소통', '맞팔선팔환영', '좋반', '좋아요반사', '곰돌이에어팟케이스', '에어팟곰돌이케이스', '에어팟니트케이스', '에어팟프로케이스추천', '에어팟프로케이스', '에어팟프로케이스판매']",peanuts__case_24.png,445
s._yeon04,224,134,2021-06-10,19:54:02,0,0,"['생일', '04년생', '맞팔환영', '맞팔', '선팔하면맞팔', '선팔맞팔', '좋아요테러', '좋반', '좋아요', '좋아요반사', '팔로우', '맞팔환영', '맞팔해요', '선팔', 'follow4like', 'fff', 'followforfollowback', '잠실', '판도라', 'ootd']",s._yeon04_2.png,55
s._yeon04,224,134,2021-06-08,17:04:22,0,0,"['18', '04년생', '좋', '좋아요', '좋테', '좋반', '좋아요', '좋튀잡', '첫줄', '첫줄반사', '선팔', '맞팔', '맞팔해요', '선팔맞팔', '협찬', '협찬환영', '디엠환영', '디엠', '04', '17', 'ootd', 'F4F', 'tbt', 'life4life', 'followme']",s._yeon04_3.png,59
s._yeon04,224,134,2021-06-07,15:57:52,0,0,"['18살', '04년생', '좋아요테러', '좋아요반사', '팔로우', '맞팔환영', '맞팔', '선팔하면맞팔', '선팔맞팔', '좋아요테러', '좋반', '좋아요', '좋아요반사', '팔로우', '맞팔환영', '맞팔해요', '선팔', 'follow4like', 'fff', 'followforfollowback', 'likeforlikes', 'like4follow', 'l4f', 'f4f', '05', '03', '19살']",s._yeon04_4.png,44
